field_name,layer,producer,source_log,type,unit,meaning_claimed,valid_when,missing_representation,forwarded_to,evidence,status,open_question
ecef_raw_m.z,MQTT,Base NetworkMqttManager,Rover ECEF scaled,JSON number,m,ECEF Rover trước cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Không null,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:937; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_ecef_m.dx,MQTT,Base NetworkMqttManager,reference - observed tại local Base,JSON number,m,Thành phần dịch chuyển correction của Base,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:922; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_ecef_m.dy,MQTT,Base NetworkMqttManager,reference - observed tại local Base,JSON number,m,Thành phần dịch chuyển correction của Base,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:922; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_ecef_m.dz,MQTT,Base NetworkMqttManager,reference - observed tại local Base,JSON number,m,Thành phần dịch chuyển correction của Base,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python bỏ qua; SQLite không lưu,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:922; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_corrected_m.x,MQTT,Base NetworkMqttManager,Rover raw + correction delta,JSON number,m,ECEF raw cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:928; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_corrected_m.y,MQTT,Base NetworkMqttManager,Rover raw + correction delta,JSON number,m,ECEF raw cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:928; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_corrected_m.z,MQTT,Base NetworkMqttManager,Rover raw + correction delta,JSON number,m,ECEF raw cộng correction,ecef_raw_m luôn có; hai nhóm còn lại chỉ khi correction_valid=true,Toàn object cha null khi correction invalid,Python chọn theo nguồn → delta_xyz; không lưu tọa độ gốc,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:928; bình sai/src/gnss_adjustment_cli/base_protocol.py:138,unknown,Điểm quy chiếu ARP/anten chưa xác minh; không kết luận đây là baseline. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
satellites,MQTT,Chưa có trong ECEF publisher,Rover GGA satellites,chưa có trong payload,vệ tinh,Có nguồn tại Rover nhưng thiếu trong packet ECEF và MQTT Base,Cần mở rộng truyền từ Rover,Bỏ trường,Python adapter hiện gán None,esp32-um982-lora/include/DataStructs.h:11; esp32-um982-lora-base/include/RtcmEspNowProtocol.h:88; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:935; bình sai/src/gnss_adjustment_cli/base_protocol.py:184,can_add,Có cần đưa satellites qua toàn chuỗi ở giai đoạn B?
run_id,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID,run_id của phiên gọi adapter,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite cột run_id,bình sai/src/gnss_adjustment_cli/base_protocol.py:174,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
event_id,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID,base topic MAC:rover MAC:sequence:gnss_ms:source_epoch:stream_id,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite khóa chính; INSERT OR IGNORE,bình sai/src/gnss_adjustment_cli/base_protocol.py:175,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
sequence,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,int,số thứ tự,int(sequence MQTT),"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite sequence,bình sai/src/gnss_adjustment_cli/base_protocol.py:176,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
base_id,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID điểm,Luôn self.base_point kể cả temp-base,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,Không lưu riêng trong SQLite,bình sai/src/gnss_adjustment_cli/base_protocol.py:177,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rover_id,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID điểm,point_by_rover_mac[payload_mac],"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite rover_id,bình sai/src/gnss_adjustment_cli/base_protocol.py:178,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
timestamp_utc,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,nhãn thời gian,gnss-ms-of-day:<ms>; không phải UTC đầy đủ,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,Không lưu riêng; GNSS ms nằm trong event_id,bình sai/src/gnss_adjustment_cli/base_protocol.py:179,unknown,Ngày và múi thời gian phiên thực tế lấy ở đâu? Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
from_point,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID điểm,Base local hoặc điểm ứng với temp_base_mac,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.from_point,bình sai/src/gnss_adjustment_cli/base_protocol.py:180,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
to_point,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,ID điểm,Điểm ứng với MAC Rover,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.to_point,bình sai/src/gnss_adjustment_cli/base_protocol.py:181,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
delta_xyz,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,"tuple[float,float,float]",m,coordinate - approximate_points[from_point],"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.delta_xyz,bình sai/src/gnss_adjustment_cli/base_protocol.py:182,unknown,"approximate_points là tọa độ loại gì, lấy từ đâu? Chưa xác minh phép trừ là baseline đúng. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai."
fix_type,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,trạng thái,fix_quality=4 → FIX; mọi mã khác → INVALID,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.fix_type,bình sai/src/gnss_adjustment_cli/base_protocol.py:183,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
satellites,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,None,vệ tinh,Adapter luôn gán None,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",None luôn,SQLite payload_json.satellites=null,bình sai/src/gnss_adjustment_cli/base_protocol.py:184,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ratio,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,None,unknown,Adapter luôn gán None; chưa có ratio trong MQTT ECEF,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",None luôn,SQLite payload_json.ratio=null,bình sai/src/gnss_adjustment_cli/base_protocol.py:185,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rtcm_source,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str,enum,Giữ nguồn MQTT hợp lệ,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.rtcm_source,bình sai/src/gnss_adjustment_cli/base_protocol.py:186,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
temp_base_mac,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,str|None,MAC,Chuẩn hóa dạng có dấu hai chấm,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",None khi thiếu,SQLite payload_json.temp_base_mac,bình sai/src/gnss_adjustment_cli/base_protocol.py:187,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
correction_valid,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,bool,boolean,"bool(document.get(...,False))","Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",Thiếu bắt buộc: exception hoặc bỏ observation,SQLite payload_json.correction_valid,bình sai/src/gnss_adjustment_cli/base_protocol.py:188,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
source_age_ms,Python,BaseFirmwareAdapter.parse_ecef,MQTT ECEF + cấu hình adapter,int|None,ms,Ép int nếu MQTT có giá trị khác null,"Topic/MAC hợp lệ; local dùng raw; temp cần correction_valid, MAC đã ánh xạ, corrected và không tự đo chính nó",None khi thiếu,SQLite payload_json.source_age_ms,bình sai/src/gnss_adjustment_cli/base_protocol.py:189,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
event_id,SQLite,SQLiteStore.save_observations,Observation,TEXT PRIMARY KEY,ID / JSON / số thứ tự,Cột observations.event_id,save_observations được gọi,NOT NULL; event_id trùng bị INSERT OR IGNORE,SQLite observations,bình sai/src/gnss_adjustment_cli/storage.py:26; bình sai/src/gnss_adjustment_cli/storage.py:54,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
run_id,SQLite,SQLiteStore.save_observations,Observation,TEXT NOT NULL,ID / JSON / số thứ tự,Cột observations.run_id,save_observations được gọi,NOT NULL; event_id trùng bị INSERT OR IGNORE,SQLite observations,bình sai/src/gnss_adjustment_cli/storage.py:27; bình sai/src/gnss_adjustment_cli/storage.py:54,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
sequence,SQLite,SQLiteStore.save_observations,Observation,INTEGER NOT NULL,ID / JSON / số thứ tự,Cột observations.sequence,save_observations được gọi,NOT NULL; event_id trùng bị INSERT OR IGNORE,SQLite observations,bình sai/src/gnss_adjustment_cli/storage.py:28; bình sai/src/gnss_adjustment_cli/storage.py:54,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rover_id,SQLite,SQLiteStore.save_observations,Observation,TEXT NOT NULL,ID / JSON / số thứ tự,Cột observations.rover_id,save_observations được gọi,NOT NULL; event_id trùng bị INSERT OR IGNORE,SQLite observations,bình sai/src/gnss_adjustment_cli/storage.py:29; bình sai/src/gnss_adjustment_cli/storage.py:54,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json,SQLite,SQLiteStore.save_observations,Observation,TEXT NOT NULL,ID / JSON / số thứ tự,Cột observations.payload_json; JSON dựng lại từ Observation; không phải payload MQTT gốc,save_observations được gọi,NOT NULL; event_id trùng bị INSERT OR IGNORE,SQLite observations,bình sai/src/gnss_adjustment_cli/storage.py:30; bình sai/src/gnss_adjustment_cli/storage.py:54,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.from_point,SQLite,SQLiteStore.save_observations,Observation.from_point,JSON string,ID điểm,Lưu row.from_point vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:65,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.to_point,SQLite,SQLiteStore.save_observations,Observation.to_point,JSON string,ID điểm,Lưu row.to_point vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:66,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.delta_xyz,SQLite,SQLiteStore.save_observations,Observation.delta_xyz,JSON array[number],m,Lưu row.delta_xyz vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:67,unknown,Chỉ giữ hiệu sau phép trừ approximate_points; không thể tái dựng raw và correction từ riêng dòng này. Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.fix_type,SQLite,SQLiteStore.save_observations,Observation.fix_type,JSON string,trạng thái,Lưu row.fix_type vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.satellites,SQLite,SQLiteStore.save_observations,Observation.satellites,JSON null,vệ tinh,Lưu row.satellites vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:69,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.ratio,SQLite,SQLiteStore.save_observations,Observation.ratio,JSON null,unknown,Lưu row.ratio vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:70,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.rtcm_source,SQLite,SQLiteStore.save_observations,Observation.rtcm_source,JSON string|null,enum,Lưu row.rtcm_source vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:71,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.temp_base_mac,SQLite,SQLiteStore.save_observations,Observation.temp_base_mac,JSON string|null,MAC,Lưu row.temp_base_mac vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:72,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.correction_valid,SQLite,SQLiteStore.save_observations,Observation.correction_valid,JSON boolean,boolean,Lưu row.correction_valid vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:73,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
payload_json.source_age_ms,SQLite,SQLiteStore.save_observations,Observation.source_age_ms,JSON number|null,ms,Lưu row.source_age_ms vào JSON; satellites/ratio null trên đường BaseFirmwareAdapter,save_observations được gọi,None → JSON null,SQLite observations.payload_json,bình sai/src/gnss_adjustment_cli/storage.py:74,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
message.payload,Python,MQTTTransport._on_message,MQTT callback,bytes,không áp dụng,Bytes MQTT gốc có tại callback nhưng không được lưu,Callback nhận message,Không có bản ghi lưu trữ,Bị mất sau callback trên đường hiện tại,bình sai/src/gnss_adjustment_cli/mqtt_transport.py:48; bình sai/src/gnss_adjustment_cli/mqtt_transport.py:64,can_add,Có log MQTT nguyên bản độc lập để bổ sung A2 không?
message.topic,Python,MQTTTransport._on_message,MQTT callback,string / exception,không áp dụng,Topic dùng định tuyến và kiểm tra MAC; không lưu nguyên topic,Callback nhận message,Không có bản ghi lưu trữ,Bị mất sau callback trên đường hiện tại,bình sai/src/gnss_adjustment_cli/mqtt_transport.py:48; bình sai/src/gnss_adjustment_cli/mqtt_transport.py:64,can_add,Có log MQTT nguyên bản độc lập để bổ sung A2 không?
parse_error,Python,MQTTTransport._on_message,MQTT callback,string / exception,không áp dụng,ValueError/KeyError/TypeError/UnicodeDecodeError bị catch và return; không lưu lý do,Callback nhận message,Không có bản ghi lưu trữ,Bị mất sau callback trên đường hiện tại,bình sai/src/gnss_adjustment_cli/mqtt_transport.py:48; bình sai/src/gnss_adjustment_cli/mqtt_transport.py:64,can_add,Có log MQTT nguyên bản độc lập để bổ sung A2 không?
transaction_id,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,number,ID,ID giao dịch,Có pending result; publish thành công,Không null,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1111; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
target_mac,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,string,MAC,MAC đích lệnh Rover,Có pending result; publish thành công,Không có trong kết quả local-coordinate,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1111; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
action,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,string,tên lệnh,Hành động của kết quả,Có pending result; publish thành công,Không null,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1112; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
status,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,string,trạng thái,verified/rejected/uart_error/busy/response_timeout/unknown cho GNSS command,Có pending result; publish thành công,Không null,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1112; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
completed_step,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,number,bước,Bước đã hoàn thành,Có pending result; publish thành công,Không có trong local-coordinate,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1113; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
total_steps,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,number,bước,Tổng số bước,Có pending result; publish thành công,Không có trong local-coordinate,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1113; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
detail_code,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,number,mã lỗi,Chi tiết từ GNSS command result,Có pending result; publish thành công,Không có trong local-coordinate,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1114; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
result_age_ms,MQTT,Base command-result publisher,BaseGnssCommandResultEvent / local coordinate result,number,ms,now - receivedAtMs; local-coordinate dùng completedAtMs,Có pending result; publish thành công,Không null,Python CommandResult.payload giữ toàn dict; storage.py không có bảng command-result,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1114; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1045; bình sai/src/gnss_adjustment_cli/base_protocol.py:68,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.x,MQTT,Base command-result publisher,Tọa độ trong kết quả lệnh,JSON number,m,Tọa độ lệnh fixed; không phải observation mới,switch_to_base_fixed_ecef hoặc local SetFixed,object ecef_m=null cho lệnh khác,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1090; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1019,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.y,MQTT,Base command-result publisher,Tọa độ trong kết quả lệnh,JSON number,m,Tọa độ lệnh fixed; không phải observation mới,switch_to_base_fixed_ecef hoặc local SetFixed,object ecef_m=null cho lệnh khác,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1090; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1019,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
ecef_m.z,MQTT,Base command-result publisher,Tọa độ trong kết quả lệnh,JSON number,m,Tọa độ lệnh fixed; không phải observation mới,switch_to_base_fixed_ecef hoặc local SetFixed,object ecef_m=null cho lệnh khác,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1090; esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1019,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
window_ms,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number,ms,Cửa sổ xác định Rover online,Phản hồi get_online_rovers,Không null,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1167,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
total_online,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number,ID / số đếm / trạng thái,Tổng Rover online,Phản hồi get_online_rovers,0 nếu không có,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1168,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
chunk_index,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number,ID / số đếm / trạng thái,Chỉ số chunk bắt đầu 0,Phản hồi get_online_rovers,Không null,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1169,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
chunk_count,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,number,ID / số đếm / trạng thái,Số chunk; ít nhất 1,Phản hồi get_online_rovers,Không null,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1170,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].mac,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,string,ID / số đếm / trạng thái,MAC Rover,Phản hồi get_online_rovers,rovers=[] nếu không có,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1182,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].via_relay,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,boolean,ID / số đếm / trạng thái,Qua Relay,Phản hồi get_online_rovers,false nếu trực tiếp,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1183,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
rovers[].relay_mac,MQTT,publishOnlineRoverResult,BaseOnlineRoverStatus,string|null,ID / số đếm / trạng thái,MAC Relay,Phản hồi get_online_rovers,null nếu trực tiếp,Python CommandResult.payload,esp32-um982-lora-base/src/functions/NetworkMqttManager.cpp:1191,unknown,Chưa có log A2 để xác nhận thực tế; unknown không có nghĩa là thiếu triển khai.
